#{"t_start": 1529785687.6581728, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,3.47611
0.0,129,3.86675
0.0,127,4.241776
1.0,155,4.726183
0.0,127,5.101208
0.0,127,5.491871
3.0,252,6.273173
0.0,125,6.648187
0.0,127,7.033563
2.0,223,7.7211
0.0,125,8.096124
0.0,129,8.486786
1.0,170,9.018062
1.0,175,9.549357
0.0,129,9.939997
2.0,220,10.611928
0.0,129,11.013825
0.0,127,11.388851
4.0,280,12.248293
0.0,127,12.638934
2.0,201,13.263977
1.0,173,13.795262
0.0,129,14.185913
2.0,224,14.873469
0.0,129,15.279737
2.0,200,15.889152
2.0,202,16.514204
0.0,129,16.920104
5.0,330,17.951414
1.0,173,18.4827
2.0,202,19.10774
0.0,127,19.482766
3.0,236,20.21719
0.0,125,20.607851
2.0,224,21.295388
0.0,127,21.686047
4.0,283,22.576723
2.0,201,23.186139
1.0,155,23.670546
0.0,129,24.061197
0.0,129,24.451857
4.0,276,25.31129
3.0,217,25.98321
2.0,202,26.670747
2.0,222,27.358293
1.0,175,27.889577
1.0,176,28.43649
0.0,129,28.82714
1.0,176,29.373852
0.0,125,29.748867
1.0,157,30.229831
0.0,125,30.608724
1.0,157,31.077504
0.0,125,31.468165
2.0,224,32.155702
0.0,125,32.530726
0.0,127,32.921378
0.0,129,33.31203
0.0,125,33.687184
2.0,223,34.390227
0.0,127,34.780878
1.0,173,35.312163
0.0,127,35.702823
1.0,175,36.234109
0.0,129,36.62476
1.0,175,37.968601
4.0,297,40.119585
0.0,127,40.979009
0.0,125,41.850715
1.0,173,43.100798
1.0,155,44.210248
1.0,175,45.46034
2.0,202,46.944807
3.0,248,48.801061
0.0,129,49.722998
2.0,202,51.207473
0.0,129,52.113782
0.0,127,53.020251
0.0,127,53.926203
1.0,170,55.16065
3.0,234,56.910767
1.0,173,58.176486
0.0,127,59.067161
1.0,173,60.33287
1.0,173,61.575981
2.0,201,63.044819
0.0,127,63.919887
5.0,352,66.545053
0.0,127,67.435738
0.0,127,68.32643
1.0,155,69.435873
1.0,172,70.666132
1.0,173,71.916783
1.0,173,73.15123
0.0,129,74.041914
1.0,157,75.151363
0.0,129,76.0733
0.0,123,76.917117
2.0,222,78.526589
1.0,155,79.620422
7.0,323,81.979568
1.0,153,83.039694
2.0,202,84.492916
1.0,158,85.602365
2.0,202,87.039962
1.0,175,88.305671
2.0,200,89.712015
1.0,157,90.826077
1.0,157,91.919901
1.0,157,92.998108
2.0,202,94.435704
0.0,125,95.295137
0.0,127,96.157147
0.0,129,97.047822
5.0,364,99.688623
1.0,175,100.907465
0.0,129,101.782514
2.0,225,103.360744
1.0,173,104.564085
0.0,129,105.43902
0.0,129,106.330497
0.0,127,107.174315
0.0,125,108.033737
0.0,125,108.862048
2.0,202,110.268261
2.0,203,111.690232
0.0,127,112.54327
0.0,129,113.418695
0.0,129,114.778161
3.0,252,116.590782
0.0,129,117.465831
0.0,127,118.321949
2.0,221,119.884553
0.0,129,120.751028
0.0,127,121.626086
2.0,202,123.048241
1.0,173,124.236206
1.0,155,125.330029
3.0,267,127.22079
1.0,157,128.314604
0.0,129,129.174037
1.0,178,130.42413
0.0,129,131.299188
2.0,228,132.918904
2.0,188,134.215864
2.0,200,135.637846
2.0,184,136.919172
0.0,127,137.778613
0.0,127,138.644266
0.0,127,139.503699
4.0,299,141.660092
0.0,129,142.535161
3.0,268,144.39466
0.0,129,145.269709
0.0,127,146.11352
1.0,173,147.301094
0.0,125,148.134341
1.0,169,149.290671
0.0,125,150.10685
2.0,182,151.353811
2.0,204,152.760155
3.0,251,154.507034
0.0,125,155.35083
1.0,155,156.397775
3.0,229,157.991641
3.0,236,159.61675
0.0,127,160.476183
2.0,202,161.866891
0.0,125,162.695072
1.0,153,163.726391
