steps,episodes,% time spent exploring,mean 100 episode reward
2944,100,97,0.2
6303,200,93,0.3
9755,300,90,0.3
13190,400,86,0.3
16295,500,83,0.2
19746,600,80,0.3
22616,700,77,0.2
25980,800,74,0.3
29558,900,70,0.3
32782,1000,67,0.2
35999,1100,64,0.2
39229,1200,61,0.2
43479,1300,56,0.5
47967,1400,52,0.6
54367,1500,46,1.1
61343,1600,39,1.2
68948,1700,31,1.3
76109,1800,24,1.3
84531,1900,16,1.6
93315,2000,7,1.7
103186,2100,1,2.1
116819,2200,1,3.2
129214,2300,1,2.8
142967,2400,1,3.2
156031,2500,1,3.0
168753,2600,1,3.0
182786,2700,1,3.3
197487,2800,1,3.4
212637,2900,1,3.7
229842,3000,1,4.3
245394,3100,1,3.9
260702,3200,1,3.8
277367,3300,1,4.5
293880,3400,1,4.2
312733,3500,1,5.0
329909,3600,1,4.5
349398,3700,1,5.2
368618,3800,1,5.2
386621,3900,1,4.7
407803,4000,1,5.8
428410,4100,1,5.9
449806,4200,1,5.8
470688,4300,1,6.0
490594,4400,1,5.8
512196,4500,1,5.8
533720,4600,1,6.1
555642,4700,1,6.7
576636,4800,1,6.3
598948,4900,1,6.6
622743,5000,1,6.8
646079,5100,1,7.0
670394,5200,1,7.8
693452,5300,1,7.4
717413,5400,1,6.9
743360,5500,1,8.7
767621,5600,1,8.0
791033,5700,1,8.2
814478,5800,1,7.2
837858,5900,1,7.2
863329,6000,1,8.6
888828,6100,1,8.5
915132,6200,1,8.8
942473,6300,1,11.1
968302,6400,1,9.5
995677,6500,1,10.5
