#{"t_start": 1529793924.7156703, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
1.0,192,2.236172
1.0,188,2.611197
1.0,172,2.970596
7.0,339,3.642517
1.0,201,4.048793
1.0,159,4.37694
0.0,151,4.68947
0.0,126,4.939479
0.0,150,5.251999
0.0,141,5.533268
1.0,155,5.845789
0.0,131,6.127057
6.0,404,6.939612
1.0,157,7.252142
0.0,130,7.517775
2.0,212,7.939887
1.0,167,8.283451
2.0,201,8.705354
0.0,133,8.986624
0.0,128,9.252266
2.0,189,9.642916
0.0,136,9.90857
2.0,223,10.361715
1.0,180,10.721114
3.0,232,11.174269
1.0,179,11.533669
2.0,209,11.971208
0.0,133,12.236841
3.0,232,12.721248
1.0,173,13.065021
1.0,189,13.455672
1.0,165,13.783819
1.0,179,14.143228
1.0,170,14.486992
1.0,184,14.846391
0.0,138,15.143465
3.0,274,15.674571
1.0,187,16.049596
2.0,203,16.455873
1.0,173,16.799646
1.0,181,17.167282
1.0,181,17.526636
5.0,350,18.228014
1.0,177,18.571787
0.0,122,18.821815
1.0,158,19.134326
2.0,204,19.540602
2.0,204,19.94688
2.0,201,20.346725
2.0,187,20.72175
2.0,224,21.174911
1.0,158,21.487426
1.0,188,21.875082
0.0,125,22.234492
1.0,164,22.750142
2.0,213,23.398803
3.0,275,24.226974
0.0,139,24.664502
1.0,185,25.227051
0.0,136,25.664571
1.0,181,26.211481
0.0,132,26.633385
0.0,129,27.039663
0.0,132,27.445939
2.0,221,28.133485
1.0,159,28.617893
0.0,141,29.055422
1.0,173,29.586707
1.0,188,30.164871
1.0,160,30.664904
0.0,130,31.071181
1.0,191,31.664565
3.0,240,32.398998
1.0,191,32.977161
2.0,193,33.586567
2.0,212,34.227236
2.0,199,34.836651
5.0,345,35.899223
0.0,130,36.3055
4.0,311,37.243071
2.0,221,37.9307
0.0,127,38.32126
1.0,192,38.91505
1.0,170,39.446344
0.0,158,39.930742
1.0,177,40.477653
2.0,206,41.111722
3.0,236,41.846156
3.0,252,42.611823
0.0,144,43.064979
1.0,185,43.627516
1.0,188,44.205689
1.0,161,44.705713
0.0,133,45.11199
3.0,263,45.924544
2.0,223,46.608565
1.0,161,47.108599
1.0,185,47.667757
2.0,226,48.368879
1.0,160,48.868911
1.0,175,49.400188
0.0,151,49.868969
1.0,166,50.384913
0.0,128,50.775289
1.0,156,51.259688
2.0,203,51.884729
1.0,165,52.384772
2.0,227,53.212953
0.0,129,53.61923
1.0,173,54.150515
0.0,157,54.634913
5.0,361,55.728746
3.0,245,56.478796
1.0,163,56.97883
1.0,185,57.556984
0.0,137,57.978887
0.0,132,58.385173
2.0,219,59.057092
1.0,166,59.572752
2.0,218,60.244663
0.0,137,60.666576
1.0,174,61.213479
1.0,174,61.744764
3.0,250,62.51045
2.0,236,63.223835
3.0,226,63.926998
1.0,162,64.427092
1.0,183,64.989568
2.0,227,65.69274
0.0,142,66.130269
0.0,144,66.579818
0.0,139,67.001721
0.0,148,67.475246
2.0,197,68.109473
1.0,164,68.616271
1.0,165,69.13194
4.0,297,70.069504
2.0,229,70.782682
2.0,206,71.407722
1.0,161,71.907765
0.0,142,72.345295
0.0,146,72.798441
1.0,185,73.360988
0.0,128,73.767255
4.0,361,74.876704
1.0,156,75.345485
4.0,278,76.204918
2.0,207,76.837172
0.0,132,77.243574
0.0,171,77.774745
0.0,140,78.21197
3.0,259,78.993272
0.0,149,79.462054
1.0,171,79.977713
3.0,253,80.76687
2.0,212,81.407529
2.0,242,82.157589
3.0,271,82.985759
0.0,127,83.37641
0.0,143,83.829577
6.0,408,85.079659
4.0,306,86.001595
0.0,137,86.423489
1.0,176,86.970401
4.0,298,87.876721
0.0,155,88.345566
1.0,163,88.861152
1.0,181,89.4237
1.0,187,89.986237
1.0,177,90.533139
1.0,190,91.126939
1.0,193,91.720413
2.0,205,92.345454
1.0,184,92.923608
0.0,141,93.361148
1.0,178,93.908059
4.0,299,94.814369
1.0,181,95.376897
0.0,137,95.792369
0.0,130,96.214273
1.0,222,96.886193
2.0,220,97.558123
1.0,186,98.136277
3.0,253,98.917588
1.0,159,99.401986
4.0,304,100.339549
0.0,132,100.745826
0.0,127,101.136487
0.0,154,101.620885
3.0,262,102.417813
1.0,156,102.90222
1.0,174,103.449142
0.0,124,103.839783
0.0,130,104.24606
0.0,131,104.636711
1.0,159,105.136745
1.0,178,105.683657
2.0,205,106.324324
2.0,215,106.980618
0.0,128,107.37128
4.0,300,108.293206
2.0,245,109.043265
3.0,248,109.800974
1.0,192,110.394673
0.0,135,110.816566
1.0,183,111.379114
0.0,132,111.785381
5.0,327,112.791808
0.0,158,113.276205
1.0,168,113.800262
0.0,149,114.253428
0.0,139,114.690948
0.0,169,115.206616
1.0,170,115.722267
1.0,181,116.284804
0.0,128,116.675455
2.0,214,117.331758
6.0,442,118.675589
3.0,332,119.691283
1.0,174,120.222577
5.0,338,121.269513
0.0,126,121.660164
1.0,171,122.191449
3.0,284,123.062174
0.0,130,123.468451
4.0,261,124.265388
1.0,178,124.8123
3.0,243,125.562351
3.0,279,126.406157
1.0,213,127.062441
2.0,243,127.812501
3.0,275,128.656298
3.0,244,129.406349
1.0,179,129.95326
5.0,332,130.984579
1.0,172,131.515865
3.0,266,132.328428
1.0,177,132.890956
0.0,131,133.297243
0.0,166,133.797276
1.0,179,134.359805
2.0,197,134.953594
3.0,299,135.872736
1.0,178,136.419648
0.0,161,136.913571
4.0,287,137.791403
2.0,204,138.418012
4.0,302,139.339949
0.0,150,139.80874
2.0,213,140.465024
1.0,204,141.090075
3.0,249,141.855742
2.0,242,142.590167
