mean 100 episode reward,% time spent exploring,steps,episodes
1.3,81,18522,100
1.3,62,37489,200
1.7,41,58873,300
1.3,20,80096,400
1.3,1,108545,500
1.6,1,138498,600
1.4,1,167442,700
1.2,1,198881,800
1.2,1,226289,900
1.6,1,258557,1000
1.4,1,285553,1100
1.9,1,318723,1200
2.0,1,353485,1300
2.3,1,382685,1400
2.4,1,413054,1500
2.4,1,443981,1600
1.9,1,475405,1700
2.6,1,509672,1800
2.1,1,542805,1900
2.0,1,583113,2000
1.9,1,620153,2100
1.6,1,657569,2200
2.0,1,695809,2300
2.0,1,737446,2400
1.8,1,769869,2500
1.9,1,812172,2600
2.0,1,849146,2700
2.0,1,892149,2800
1.6,1,928345,2900
2.1,1,966912,3000
