% time spent exploring,episodes,mean 100 episode reward,steps
82,100,1.2,17956
62,200,1.5,37617
43,300,1.3,57213
22,400,1.4,78239
1,500,1.6,106125
1,600,1.5,144685
1,700,1.6,179995
1,800,1.3,213733
1,900,1.3,249141
1,1000,1.4,285145
1,1100,1.3,320320
1,1200,1.5,356865
1,1300,1.7,387701
1,1400,1.2,419605
1,1500,2.0,450692
1,1600,1.7,483459
1,1700,1.5,510596
1,1800,1.6,545243
1,1900,1.2,578133
1,2000,1.6,607205
1,2100,1.4,637081
1,2200,2.4,666198
1,2300,2.4,698145
1,2400,2.8,726103
1,2500,2.3,755302
1,2600,2.8,784082
1,2700,2.0,815296
1,2800,2.6,845299
1,2900,2.0,877118
1,3000,2.2,911081
1,3100,2.0,946315
1,3200,2.8,983369
