mean 100 episode reward,steps,episodes,% time spent exploring
1.2,17724,100,82
1.1,35951,200,64
1.6,56642,300,43
1.6,79414,400,21
2.0,110249,500,1
1.5,150952,600,1
1.9,186425,700,1
1.4,216403,800,1
1.7,249009,900,1
1.5,283090,1000,1
1.5,319609,1100,1
1.7,355709,1200,1
1.8,390833,1300,1
1.5,422381,1400,1
1.8,457126,1500,1
1.8,488909,1600,1
2.4,520717,1700,1
2.1,549097,1800,1
1.9,580798,1900,1
2.3,612565,2000,1
1.9,645996,2100,1
2.0,682064,2200,1
1.9,709661,2300,1
2.1,743816,2400,1
1.7,786139,2500,1
2.4,822633,2600,1
1.7,860219,2700,1
1.7,899849,2800,1
2.1,939214,2900,1
1.7,972752,3000,1
