mean 100 episode reward,% time spent exploring,steps,episodes
1.4,81,18744,100
1.0,63,36742,200
1.6,43,57249,300
1.7,20,80353,400
1.9,1,107923,500
1.8,1,140746,600
2.3,1,179161,700
2.6,1,213564,800
3.3,1,247543,900
2.8,1,276077,1000
3.1,1,311529,1100
3.2,1,355558,1200
2.2,1,386781,1300
2.5,1,424597,1400
2.0,1,467030,1500
3.2,1,503915,1600
3.2,1,543230,1700
2.8,1,576592,1800
3.1,1,611787,1900
2.5,1,652420,2000
2.5,1,680049,2100
3.3,1,712181,2200
2.9,1,740006,2300
2.9,1,786603,2400
2.8,1,814720,2500
3.5,1,852293,2600
2.3,1,887051,2700
2.3,1,928134,2800
2.9,1,964680,2900
2.1,1,990578,3000
