mean 100 episode reward,% time spent exploring,steps,episodes
1.5,81,19092,100
1.5,61,38879,200
1.3,41,58587,300
1.6,20,80597,400
2.5,1,106709,500
2.1,1,149417,600
2.4,1,214027,700
2.7,1,259929,800
2.4,1,309294,900
3.1,1,345063,1000
3.2,1,376756,1100
2.5,1,419867,1200
3.3,1,471644,1300
3.0,1,504571,1400
3.1,1,540403,1500
3.0,1,584564,1600
4.6,1,623973,1700
3.1,1,669440,1800
4.2,1,721810,1900
2.8,1,758806,2000
4.2,1,805043,2100
4.8,1,841787,2200
4.1,1,882981,2300
5.1,1,924178,2400
4.9,1,963265,2500
