#{"t_start": 1529962514.1865335, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
0.0,144,3.234459
4.0,305,3.875127
1.0,158,4.2189
0.0,149,4.531421
1.0,175,5.265846
1.0,194,5.953393
3.0,256,6.687815
3.0,222,7.156596
2.0,199,7.5785
1.0,182,7.953525
0.0,139,8.25042
0.0,147,8.56294
1.0,182,8.937967
2.0,197,9.359871
3.0,256,9.875528
0.0,145,10.172424
0.0,129,10.438076
9.0,403,11.25062
1.0,175,11.61002
0.0,133,11.891288
0.0,132,12.172557
1.0,166,12.516331
3.0,276,13.078868
1.0,160,13.391388
2.0,185,13.766423
2.0,233,14.235194
2.0,200,14.64156
1.0,154,14.969618
0.0,129,15.219635
1.0,177,15.579035
2.0,188,15.969686
1.0,158,16.282206
2.0,223,16.735517
1.0,161,17.063519
3.0,258,17.579168
2.0,202,17.985445
1.0,158,18.313593
0.0,127,18.56361
3.0,251,19.063653
4.0,253,19.579312
0.0,136,19.860581
1.0,185,20.235597
1.0,164,20.563743
3.0,240,21.04815
1.0,180,21.40755
1.0,171,21.751322
0.0,133,22.032601
2.0,194,22.423242
3.0,247,22.923276
1.0,178,23.282684
4.0,276,23.829596
0.0,133,24.095229
1.0,177,24.673403
0.0,125,25.07968
0.0,131,25.5172
0.0,132,25.939113
3.0,242,26.720414
1.0,166,27.267327
1.0,174,27.829854
1.0,174,28.408028
3.0,237,29.173694
1.0,190,29.798736
1.0,190,30.408152
1.0,178,31.017567
1.0,164,31.611358
1.0,193,32.267788
2.0,198,32.923945
0.0,141,33.39293
4.0,281,34.33029
0.0,132,34.786322
0.0,142,35.245388
0.0,169,35.807925
1.0,181,36.401715
1.0,164,36.933
1.0,155,37.44866
2.0,213,38.136216
0.0,130,38.558119
1.0,196,39.198777
0.0,128,39.62068
2.0,237,40.401983
1.0,192,41.04265
2.0,216,41.761448
0.0,142,42.245867
2.0,200,42.902149
0.0,134,43.339679
3.0,264,44.199111
1.0,177,44.76166
1.0,171,45.324187
0.0,125,45.730464
1.0,168,46.277377
2.0,232,47.027436
0.0,154,47.527616
2.0,214,48.23063
0.0,139,48.683787
0.0,135,49.121326
1.0,187,49.730732
0.0,123,50.137009
1.0,183,50.730799
0.0,143,51.19958
2.0,209,51.887127
2.0,222,52.605934
0.0,145,53.074705
2.0,200,53.730999
0.0,136,54.184155
0.0,142,54.652937
0.0,143,55.137343
0.0,132,55.559257
3.0,331,56.637444
0.0,136,57.074973
0.0,128,57.715641
1.0,184,58.325067
5.0,334,59.41888
1.0,181,60.012679
5.0,324,61.075373
3.0,257,61.958996
1.0,169,62.518391
0.0,127,62.948424
0.0,131,63.378535
0.0,141,63.848674
0.0,155,64.355784
0.0,142,64.825889
0.0,141,65.295552
2.0,212,65.997763
1.0,155,66.498851
1.0,157,67.015874
1.0,173,67.586275
1.0,167,68.150404
2.0,221,68.870541
