#{"t_start": 1529880873.161601, "env_id": "Breakout-ramNoFrameskip-v4"}
r,l,t
0.0,142,2.391314
2.0,205,2.828842
1.0,163,3.172617
2.0,209,3.62628
2.0,207,4.063809
0.0,155,4.391956
0.0,138,4.688958
0.0,132,4.954494
3.0,234,5.438901
2.0,214,5.87644
0.0,147,6.188951
1.0,178,6.54835
1.0,158,6.876498
2.0,222,7.329653
2.0,242,7.829695
1.0,167,8.183476
3.0,241,8.683099
2.0,209,9.113065
0.0,144,9.402989
1.0,186,9.79363
1.0,163,10.121777
0.0,134,10.403046
1.0,184,10.793699
0.0,142,11.074975
2.0,217,11.528122
0.0,132,11.80939
0.0,129,12.075063
0.0,128,12.340675
0.0,134,12.621945
1.0,176,12.981344
2.0,218,13.4345
1.0,177,13.793898
0.0,144,14.106419
3.0,234,14.575211
1.0,161,14.918984
0.0,126,15.169
2.0,239,15.669022
0.0,135,15.950293
2.0,193,16.356579
3.0,234,16.840976
1.0,158,17.169123
0.0,132,17.434776
1.0,170,17.794166
2.0,218,18.247321
2.0,212,18.68486
0.0,131,18.966119
1.0,187,19.341144
0.0,143,19.638039
1.0,183,20.013064
1.0,185,20.403715
2.0,225,20.85687
1.0,172,21.216269
1.0,177,21.591304
0.0,140,21.872563
1.0,169,22.231962
2.0,217,22.669501
0.0,151,23.169525
1.0,183,23.794578
3.0,273,24.716514
0.0,132,25.169659
1.0,172,25.747835
1.0,179,26.357248
3.0,250,27.201046
0.0,136,27.654201
0.0,124,28.09173
1.0,164,28.654277
0.0,128,29.091795
6.0,382,30.388768
3.0,282,31.330012
0.0,151,31.845568
1.0,170,32.423731
1.0,161,32.970634
1.0,169,33.548852
1.0,183,34.173848
0.0,125,34.595742
1.0,185,35.220783
0.0,137,35.705191
1.0,170,36.283354
4.0,299,37.299047
2.0,205,37.986593
2.0,201,38.67415
3.0,235,39.471069
1.0,175,40.064858
0.0,134,40.518013
1.0,170,41.096177
0.0,149,41.596211
0.0,135,42.064991
1.0,172,42.643155
1.0,173,43.236945
0.0,127,43.674474
0.0,154,44.190134
2.0,230,44.971436
2.0,235,45.768374
0.0,143,46.268408
4.0,282,47.221587
0.0,138,47.690368
0.0,136,48.159159
0.0,126,48.596678
1.0,175,49.190478
2.0,196,49.846771
2.0,227,50.612439
4.0,309,51.659394
2.0,190,52.300051
2.0,241,53.112606
0.0,127,53.550134
1.0,193,54.190804
0.0,159,54.75335
2.0,229,55.534643
3.0,275,56.503458
2.0,203,57.394151
1.0,158,57.925428
3.0,248,58.769245
0.0,131,59.222399
0.0,136,59.691171
1.0,168,60.253709
0.0,144,60.753741
1.0,192,61.410036
5.0,302,62.410103
2.0,219,63.160152
0.0,141,63.64456
2.0,207,64.425863
1.0,190,65.082212
2.0,207,65.781275
0.0,129,66.218804
1.0,172,66.812593
2.0,202,67.500139
1.0,184,68.125182
1.0,202,68.812727
0.0,132,69.265893
3.0,252,70.125315
4.0,259,71.000373
0.0,131,71.453528
1.0,174,72.047328
3.0,274,72.969255
0.0,137,73.438036
1.0,163,74.000574
0.0,144,74.500607
0.0,145,75.00065
1.0,180,75.610057
0.0,148,76.125716
2.0,238,76.922645
1.0,164,77.500809
0.0,136,77.9696
2.0,206,78.657145
0.0,129,79.110292
1.0,167,79.672829
0.0,124,80.094732
0.0,143,80.594765
1.0,189,81.235433
0.0,140,81.71984
0.0,136,82.188622
1.0,155,82.719908
0.0,147,83.219941
1.0,186,83.844992
2.0,223,84.61066
0.0,132,85.063815
1.0,204,85.766987
3.0,258,86.62642
4.0,298,87.626486
1.0,187,88.267153
2.0,214,88.985951
0.0,144,89.485995
0.0,147,89.986019
0.0,122,90.407921
0.0,145,90.892329
3.0,311,91.939284
1.0,192,92.595578
0.0,173,93.173742
2.0,237,93.97066
0.0,149,94.48633
0.0,153,95.001979
1.0,191,95.658282
1.0,183,96.283326
1.0,190,96.923983
1.0,170,97.502146
1.0,176,98.095947
3.0,246,98.939743
1.0,199,99.611663
3.0,253,100.477664
3.0,243,101.305845
3.0,236,102.102782
0.0,153,102.634058
3.0,259,103.509116
1.0,202,104.196661
0.0,148,104.696705
2.0,244,105.524875
1.0,181,106.149918
0.0,127,106.587446
1.0,175,107.181247
2.0,220,107.931287
0.0,139,108.400068
3.0,254,109.25951
7.0,330,110.368959
1.0,180,110.978498
1.0,203,111.68154
1.0,156,112.212833
1.0,160,112.759744
0.0,138,113.244152
3.0,283,114.197341
3.0,274,115.134893
2.0,226,115.900581
1.0,189,116.541238
3.0,272,117.463175
1.0,167,118.025712
