episodes,% time spent exploring,steps,mean 100 episode reward
100,80,19193,1.5
200,61,38491,1.5
300,41,58656,1.6
400,19,81466,1.9
500,1,108822,2.4
600,1,139725,3.1
700,1,183208,2.6
800,1,215243,3.2
900,1,258146,3.3
1000,1,298245,3.5
1100,1,333878,3.1
1200,1,368972,3.3
1300,1,403081,3.8
1400,1,436838,4.2
1500,1,488604,4.1
1600,1,526801,4.7
1700,1,577537,3.8
1800,1,619029,5.0
1900,1,660062,4.7
2000,1,696439,4.2
2100,1,731369,3.9
2200,1,774144,4.3
2300,1,812663,5.0
2400,1,855801,4.8
2500,1,920797,3.9
2600,1,955486,3.5
