mean 100 episode reward,episodes,steps,% time spent exploring
1.1,100,17716,82
1.3,200,36936,63
1.5,300,57068,43
2.0,400,80045,20
2.7,500,108519,1
2.8,600,138198,1
3.7,700,171833,1
3.8,800,211854,1
4.3,900,245351,1
3.2,1000,274947,1
3.5,1100,321378,1
3.6,1200,363322,1
4.2,1300,405585,1
3.5,1400,445397,1
4.2,1500,482094,1
3.7,1600,513665,1
4.0,1700,560182,1
4.5,1800,596654,1
4.6,1900,627968,1
5.8,2000,664526,1
4.1,2100,699613,1
4.8,2200,734663,1
3.6,2300,777582,1
4.7,2400,816907,1
4.6,2500,854320,1
3.6,2600,892565,1
3.6,2700,935052,1
2.8,2800,997804,1
