steps,% time spent exploring,mean 100 episode reward,episodes
17389,82,1.0,100
34480,65,1.0,200
52512,48,1.1,300
71652,29,1.4,400
92755,8,1.6,500
119379,1,2.8,600
143161,1,2.5,700
169574,1,2.9,800
203489,1,3.3,900
237233,1,3.7,1000
267183,1,3.9,1100
305671,1,4.9,1200
339197,1,4.7,1300
365101,1,3.0,1400
403274,1,4.1,1500
436363,1,4.8,1600
462392,1,4.0,1700
498052,1,4.1,1800
537526,1,5.6,1900
568489,1,4.6,2000
606527,1,5.5,2100
647714,1,4.0,2200
709521,1,3.3,2300
747975,1,4.8,2400
782305,1,3.6,2500
823995,1,4.4,2600
865392,1,4.8,2700
905714,1,5.4,2800
945704,1,4.1,2900
984814,1,5.3,3000
