#{"t_start": 1529849452.8581557, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,157,3.684756
1.0,173,4.649204
0.0,125,5.308827
1.0,173,6.24529
1.0,153,7.043833
2.0,204,8.101229
0.0,127,8.742863
2.0,202,9.951168
7.0,321,11.671183
2.0,201,12.736572
0.0,129,13.376205
0.0,129,14.013839
1.0,157,14.88434
1.0,157,15.907754
1.0,153,16.814238
2.0,203,17.882624
1.0,175,18.756121
2.0,198,19.819513
2.0,198,20.87591
1.0,175,21.780391
1.0,173,22.655887
0.0,127,23.252552
1.0,176,24.173018
3.0,271,25.602199
2.0,185,26.969416
4.0,281,28.723412
3.0,248,30.485401
1.0,155,31.318924
0.0,125,32.00753
4.0,297,33.830485
4.0,321,35.837335
1.0,175,36.783794
1.0,155,37.639306
2.0,221,38.714686
0.0,129,39.38964
1.0,173,40.251146
0.0,127,40.878786
2.0,204,41.966163
3.0,250,43.274415
0.0,127,43.904058
2.0,187,44.837518
5.0,352,46.640487
3.0,249,47.911757
2.0,183,48.92018
3.0,268,50.453302
1.0,173,51.375772
2.0,185,52.318234
2.0,204,53.346644
3.0,250,54.641901
11.0,497,57.242412
4.0,301,59.203287
0.0,129,59.962856
3.0,272,61.38404
2.0,200,73.043447
1.0,171,86.624177
1.0,173,103.256084
0.0,129,112.814173
2.0,200,127.958497
4.0,281,150.399639
1.0,155,162.515697
3.0,214,179.621896
1.0,171,193.774787
0.0,127,203.617147
1.0,175,217.584145
0.0,129,227.25261
0.0,125,237.365811
0.0,123,248.391572
3.0,250,271.507322
3.0,234,291.005151
0.0,127,301.814957
0.0,127,311.655318
1.0,155,325.288508
1.0,175,341.266354
2.0,184,358.034746
0.0,129,368.046008
0.0,127,379.626488
2.0,204,398.280308
0.0,123,407.718911
1.0,157,419.791994
2.0,220,436.633344
1.0,171,448.334639
1.0,155,461.625028
2.0,207,477.535126
1.0,171,490.224867
0.0,129,500.604923
1.0,155,513.07478
2.0,202,528.689831
0.0,127,538.840014
2.0,225,556.73476
2.0,183,570.517868
3.0,268,590.96667
1.0,177,604.049175
0.0,129,613.272892
3.0,229,630.192196
3.0,272,649.706017
0.0,125,658.58293
1.0,173,671.071775
2.0,188,685.126722
0.0,125,695.021832
0.0,127,704.227556
2.0,227,724.524926
1.0,173,741.310309
2.0,201,759.782794
1.0,172,772.118325
3.0,252,793.544015
2.0,222,810.569258
1.0,157,821.787832
3.0,254,840.90288
1.0,173,853.758514
3.0,266,873.848006
1.0,157,885.363405
2.0,187,899.013584
1.0,172,911.770276
1.0,155,923.006837
1.0,176,937.014652
1.0,155,948.612018
0.0,129,958.342442
1.0,153,971.030172
2.0,204,987.770578
0.0,127,999.046118
