% time spent exploring,episodes,mean 100 episode reward,steps
97,100,0.1,2828
93,200,0.3,6247
90,300,0.2,9313
87,400,0.2,12323
84,500,0.2,15447
81,600,0.3,18827
78,700,0.2,21782
75,800,0.2,24847
72,900,0.3,28050
68,1000,0.3,31667
65,1100,0.2,34730
62,1200,0.4,38274
58,1300,0.4,42187
54,1400,0.4,46044
49,1500,0.7,51246
44,1600,0.7,56303
37,1700,1.1,62758
31,1800,1.2,69459
22,1900,1.7,78250
13,2000,2.0,87647
3,2100,2.2,97912
1,2200,2.4,109081
1,2300,2.6,120783
1,2400,3.1,133610
1,2500,2.8,145312
1,2600,3.1,158108
1,2700,3.2,171078
1,2800,3.6,185478
1,2900,3.2,198609
1,3000,3.5,212742
1,3100,3.7,227573
1,3200,4.4,244564
1,3300,4.5,261800
1,3400,4.6,278904
1,3500,4.6,296086
1,3600,5.0,315012
1,3700,5.6,334322
1,3800,4.8,352358
1,3900,5.8,371863
1,4000,5.1,389619
1,4100,6.4,411223
1,4200,5.9,432780
1,4300,5.9,454095
1,4400,6.0,473997
1,4500,6.8,497175
1,4600,6.3,519593
1,4700,6.5,541491
1,4800,6.8,564559
1,4900,7.1,587087
1,5000,6.3,609368
1,5100,6.2,631650
1,5200,5.8,651429
1,5300,7.3,674088
1,5400,6.9,695554
1,5500,7.0,717785
1,5600,8.5,742597
1,5700,7.6,766834
1,5800,8.5,791339
1,5900,7.9,816355
1,6000,7.4,839889
1,6100,7.7,864221
1,6200,8.3,887966
1,6300,7.9,911154
1,6400,8.2,936070
1,6500,9.5,960933
1,6600,8.1,984950
