episodes,steps,% time spent exploring,mean 100 episode reward
100,18377,81,1.3
200,37352,63,1.3
300,54680,45,1.0
400,72954,27,1.1
500,94928,6,1.7
600,116812,1,1.2
700,141498,1,1.6
800,163530,1,1.5
900,185558,1,1.5
1000,207733,1,1.9
1100,229663,1,1.8
1200,254309,1,1.7
1300,281088,1,2.0
1400,309853,1,2.2
1500,338506,1,2.5
1600,387274,1,2.8
1700,431743,1,1.9
1800,472091,1,2.4
1900,515803,1,2.6
2000,556993,1,2.9
2100,591446,1,3.1
2200,627845,1,2.7
2300,660914,1,2.6
2400,695523,1,2.9
2500,735598,1,3.8
2600,781143,1,2.4
2700,817194,1,2.9
2800,856718,1,3.4
2900,907958,1,3.4
3000,938089,1,2.9
3100,985875,1,3.6
