episodes,% time spent exploring,mean 100 episode reward,steps
100,81,1.4,19162
200,62,1.2,38083
300,43,1.3,56902
400,24,1.4,76646
500,1,2.3,101114
600,1,2.5,127933
700,1,2.2,156155
800,1,3.2,186935
900,1,4.4,219026
1000,1,3.5,251286
1100,1,3.4,283196
1200,1,2.9,316870
1300,1,3.4,356907
1400,1,4.4,391890
1500,1,3.2,419541
1600,1,4.6,461348
1700,1,3.9,507911
1800,1,4.2,540153
1900,1,4.5,571485
2000,1,3.0,606519
2100,1,3.5,650581
2200,1,4.0,683674
2300,1,4.0,730022
2400,1,3.3,775277
2500,1,3.9,819921
2600,1,5.0,857386
2700,1,4.6,889501
2800,1,3.0,924887
2900,1,2.7,987382
