#{"t_start": 1529857601.3847675, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,3.93776
0.0,129,4.344027
3.0,252,5.140965
0.0,129,5.562868
1.0,173,6.109771
0.0,127,6.516047
1.0,153,7.000455
2.0,202,7.641133
4.0,271,8.516182
1.0,173,9.078718
1.0,173,9.637234
1.0,172,10.184146
1.0,176,10.746684
0.0,127,11.152971
2.0,224,11.871769
2.0,224,12.606193
0.0,125,12.996844
2.0,207,13.668764
1.0,153,14.153162
0.0,129,14.575065
5.0,372,15.793898
1.0,173,16.340808
1.0,173,16.903354
2.0,222,17.606518
0.0,125,18.012805
2.0,206,18.669088
1.0,155,19.184748
4.0,302,20.169198
1.0,173,20.716101
1.0,175,21.294275
3.0,231,22.044324
1.0,157,22.544348
0.0,125,22.934999
2.0,184,23.528789
1.0,157,24.028833
1.0,173,24.606986
0.0,129,25.013272
1.0,175,25.57581
1.0,155,26.075836
1.0,157,26.575868
2.0,185,27.185284
1.0,173,27.799298
0.0,129,28.21899
0.0,127,28.621496
1.0,157,29.118767
3.0,270,30.009524
3.0,234,30.76441
1.0,157,31.286816
0.0,127,31.693106
1.0,155,32.19313
1.0,175,32.755677
1.0,153,33.240084
0.0,129,33.646362
2.0,205,34.318272
2.0,205,34.974566
0.0,127,35.380843
0.0,129,35.787122
0.0,127,36.193397
0.0,127,36.599675
2.0,201,37.255978
0.0,125,37.646619
0.0,127,38.052906
1.0,155,38.553034
0.0,129,39.552997
2.0,183,40.834344
4.0,299,43.021979
6.0,374,45.834677
0.0,127,46.756616
0.0,127,47.662925
3.0,252,49.569303
0.0,129,50.506855
1.0,157,51.678808
1.0,176,52.975769
0.0,127,53.897707
0.0,125,54.804028
0.0,129,55.757309
1.0,155,56.897908
3.0,218,58.538652
1.0,173,59.835614
1.0,174,61.132575
0.0,129,62.085764
3.0,254,64.007769
5.0,329,66.523561
5.0,352,69.211231
0.0,129,70.135004
2.0,199,71.619478
1.0,173,72.900814
4.0,279,74.979089
2.0,202,76.479187
0.0,129,77.401124
0.0,129,78.323051
1.0,172,79.573146
3.0,270,81.58898
4.0,284,83.714037
0.0,129,84.620347
2.0,205,86.120458
1.0,173,87.370543
0.0,129,88.292468
1.0,178,89.573804
0.0,127,90.4645
3.0,252,92.308371
1.0,155,93.417945
1.0,174,94.683521
1.0,173,95.902353
1.0,171,97.136811
0.0,127,98.027505
1.0,175,99.277591
3.0,233,100.996444
2.0,201,102.449676
1.0,171,103.684132
7.0,413,106.746828
2.0,183,108.059417
1.0,173,109.293873
0.0,129,110.184557
0.0,129,111.090879
0.0,127,111.965937
0.0,129,112.887873
2.0,202,114.325471
0.0,129,115.23178
2.0,222,116.825629
0.0,127,117.716311
1.0,157,119.435186
2.0,224,121.029033
0.0,127,121.904092
0.0,125,122.76359
2.0,202,124.185604
1.0,176,125.451204
2.0,225,127.060697
3.0,245,128.795178
1.0,153,129.881983
0.0,129,130.77268
1.0,172,131.960257
8.0,441,135.194848
7.0,250,136.991833
3.0,230,138.63258
7.0,325,141.007728
2.0,220,142.554706
1.0,157,143.64854
3.0,252,145.461291
1.0,173,146.664366
1.0,175,147.914451
0.0,127,148.758248
0.0,129,149.648942
4.0,274,151.602186
3.0,232,153.227306
3.0,231,154.868029
1.0,173,156.071235
2.0,202,157.493216
0.0,129,158.3839
1.0,172,159.57147
2.0,220,161.134073
9.0,404,164.040625
1.0,171,165.243735
0.0,127,166.103168
2.0,202,167.540753
2.0,224,169.118983
1.0,175,170.369076
2.0,204,171.791172
1.0,173,173.00988
2.0,201,174.447465
0.0,125,175.291271
0.0,123,176.135077
6.0,400,179.025896
0.0,127,179.885329
1.0,170,181.072907
2.0,200,182.494887
1.0,153,183.557461
1.0,176,184.776292
1.0,160,185.901356
0.0,127,186.776425
0.0,129,187.651474
4.0,301,189.819434
2.0,224,191.413291
3.0,251,193.179044
0.0,125,194.038476
2.0,202,195.897965
0.0,123,196.726155
0.0,127,197.585578
3.0,251,199.366948
3.0,237,201.02332
1.0,155,202.117142
0.0,129,202.976573
3.0,235,204.648561
0.0,127,205.507983
1.0,155,206.570564
0.0,127,207.429986
1.0,155,208.508183
2.0,203,209.930155
1.0,153,210.992725
4.0,300,213.133493
2.0,203,214.555473
1.0,173,215.758678
3.0,231,217.383777
3.0,252,219.180772
0.0,129,220.055831
1.0,157,221.134028
0.0,125,221.993461
1.0,175,223.196676
1.0,175,224.446761
1.0,173,225.649964
1.0,153,226.71254
1.0,155,227.790723
1.0,153,228.868931
0.0,127,229.728363
2.0,187,231.056578
4.0,324,233.400473
3.0,216,234.947463
1.0,173,236.150658
2.0,222,237.7289
1.0,174,238.94772
1.0,174,240.166552
1.0,157,241.260383
5.0,316,243.541787
0.0,127,244.401211
0.0,129,245.307521
1.0,172,246.4951
2.0,187,247.792061
2.0,225,249.431558
2.0,203,250.881583
1.0,175,252.11605
4.0,249,253.866167
3.0,232,255.522516
0.0,125,256.38196
5.0,313,258.616474
4.0,281,260.632235
4.0,324,262.960517
1.0,155,264.038713
0.0,125,264.913771
4.0,264,266.788898
4.0,263,268.664021
6.0,348,271.679849
4.0,262,273.539348
2.0,186,274.836309
2.0,204,276.25828
1.0,157,277.367872
0.0,127,278.227161
10.0,504,281.883658
4.0,245,283.6338
4.0,301,285.758914
2.0,188,287.087129
3.0,236,288.743499
1.0,155,289.837323
1.0,158,290.931146
1.0,155,291.993707
2.0,183,293.259417
3.0,280,295.259551
1.0,175,296.478393
7.0,434,299.619218
3.0,229,301.228779
1.0,175,302.447541
3.0,218,303.978894
5.0,307,306.16653
2.0,224,307.760387
2.0,222,309.323
4.0,265,311.1887
1.0,155,312.266889
4.0,281,314.251408
2.0,187,315.563985
6.0,342,318.017274
2.0,183,319.298609
3.0,251,321.079988
1.0,157,322.158176
1.0,157,323.252009
3.0,248,325.002117
4.0,264,326.877243
4.0,301,329.018009
3.0,216,330.549372
4.0,245,332.283854
2.0,185,333.565248
5.0,334,335.971637
4.0,323,338.299881
1.0,178,339.534339
2.0,206,340.987573
6.0,422,344.065891
1.0,157,345.144086
3.0,272,347.534873
4.0,265,349.42563
0.0,129,350.285057
3.0,215,351.81641
4.0,298,353.941551
5.0,312,356.176085
7.0,324,358.504357
0.0,129,359.363799
3.0,255,361.192046
4.0,320,363.473448
5.0,335,365.864235
2.0,187,367.192448
5.0,334,369.583224
8.0,374,372.280407
6.0,399,375.139984
6.0,355,377.687028
3.0,236,379.359005
0.0,127,380.218448
6.0,342,382.671727
4.0,283,384.671871
5.0,352,387.203282
2.0,204,388.640877
10.0,456,391.938109
10.0,447,395.172564
7.0,396,398.016504
5.0,326,400.344873
0.0,129,401.235468
2.0,186,402.532442
0.0,129,403.423115
1.0,175,404.62632
3.0,239,406.314065
4.0,297,408.439085
4.0,301,410.59547
5.0,328,412.939388
1.0,173,414.158208
5.0,352,416.689628
5.0,351,419.205432
5.0,352,421.721215
8.0,439,425.393336
4.0,290,427.471599
7.0,344,429.940657
6.0,360,432.560808
2.0,185,433.85777
5.0,309,436.092294
11.0,402,439.014365
6.0,356,441.592673
8.0,392,444.436603
8.0,401,447.343057
5.0,295,449.452564
9.0,328,451.843359
11.0,411,454.796671
11.0,450,458.062514
8.0,448,461.312732
6.0,364,463.937917
7.0,435,467.078742
4.0,244,468.813236
5.0,315,471.079019
6.0,378,473.797953
11.0,532,477.657584
7.0,395,480.517141
7.0,385,483.267335
9.0,514,487.001949
11.0,383,489.76776
5.0,276,491.730724
7.0,407,494.66842
5.0,323,496.996701
11.0,409,500.418805
7.0,385,503.215867
18.0,576,507.43489
10.0,484,510.966376
11.0,440,514.185413
8.0,399,517.076159
13.0,470,520.498264
10.0,535,524.389149
6.0,329,526.764308
15.0,509,530.483315
8.0,410,533.483506
13.0,603,537.890062
14.0,646,542.624754
10.0,465,546.015624
10.0,457,549.312691
16.0,463,552.741909
15.0,686,557.827322
14.0,403,560.749402
15.0,650,565.530971
9.0,374,568.249892
15.0,612,572.718941
12.0,522,577.000487
6.0,347,579.516282
21.0,645,584.219711
7.0,405,587.141782
16.0,483,590.657641
9.0,446,593.90786
9.0,492,597.486224
14.0,458,600.814572
9.0,447,604.064788
7.0,354,606.611834
13.0,569,610.752738
17.0,591,615.071872
4.0,279,617.071995
22.0,574,621.244187
8.0,362,623.853709
4.0,260,625.713197
12.0,539,629.650961
15.0,545,633.619977
5.0,321,635.945529
11.0,561,640.023925
15.0,426,643.117872
7.0,446,646.352474
13.0,550,650.352744
8.0,456,653.681081
11.0,604,658.103261
7.0,429,661.212842
9.0,460,664.572443
13.0,671,669.479012
10.0,471,672.901116
8.0,494,676.508951
15.0,487,680.056052
13.0,526,683.884443
9.0,459,687.22841
24.0,823,693.275687
12.0,403,696.197757
9.0,436,699.369844
11.0,445,702.588808
7.0,387,705.401498
9.0,326,707.745415
10.0,378,710.479963
15.0,578,714.698996
10.0,577,718.886775
18.0,553,722.887042
10.0,453,726.168513
19.0,726,731.465742
14.0,501,735.081512
12.0,605,739.472285
16.0,602,743.847587
9.0,477,747.300933
15.0,594,751.613732
14.0,557,755.645252
10.0,460,758.957974
18.0,530,762.80207
9.0,465,766.161571
11.0,523,769.927458
17.0,502,773.568316
12.0,545,777.521714
16.0,561,781.584486
20.0,617,786.069154
15.0,584,790.30381
21.0,822,796.344144
21.0,658,801.641383
15.0,664,806.48545
14.0,383,809.251259
10.0,473,812.688999
24.0,678,817.642445
28.0,780,823.345951
21.0,763,828.924449
16.0,760,834.487322
13.0,461,837.831306
16.0,569,841.956581
15.0,522,845.753709
35.0,1051,853.484562
11.0,499,857.194405
23.0,719,862.460382
21.0,716,867.695117
14.0,642,872.382921
16.0,692,877.930176
10.0,520,881.727295
17.0,734,887.102655
22.0,694,892.149873
22.0,639,896.790813
13.0,590,901.07234
12.0,510,904.775721
28.0,719,910.026073
31.0,516,913.760688
28.0,894,920.31239
15.0,647,925.000214
23.0,690,930.0318
16.0,687,935.032136
16.0,675,939.938704
21.0,637,944.579637
17.0,614,949.595599
15.0,654,954.40843
13.0,548,958.424315
13.0,567,962.580842
21.0,534,966.487354
18.0,672,971.409559
14.0,550,975.425451
26.0,887,981.981408
17.0,497,985.591025
15.0,534,989.497536
18.0,661,994.357238
17.0,495,997.966864
20.0,693,1003.04532
38.0,430,1006.170607
13.0,550,1010.18643
17.0,669,1015.093008
19.0,451,1018.374478
25.0,767,1024.01548
19.0,413,1027.015681
32.0,742,1032.46917
11.0,587,1036.745931
19.0,765,1042.386941
20.0,546,1046.371566
19.0,650,1051.153136
10.0,447,1054.403362
22.0,686,1059.450567
22.0,738,1064.857176
19.0,640,1069.560627
15.0,535,1073.467129
14.0,389,1076.295443
13.0,611,1080.764491
18.0,666,1085.671078
27.0,793,1091.515211
31.0,863,1097.869906
19.0,762,1103.495271
