% time spent exploring,mean 100 episode reward,episodes,steps
96,0.2,100,3144
93,0.3,200,6583
90,0.2,300,9567
87,0.2,400,12776
83,0.3,500,16467
80,0.3,600,19855
76,0.4,700,23685
72,0.3,800,27350
69,0.3,900,30801
66,0.3,1000,34055
62,0.3,1100,37522
58,0.6,1200,42064
54,0.5,1300,46351
49,0.6,1400,50876
43,0.9,1500,56809
38,0.8,1600,62164
31,1.4,1700,69548
21,2.0,1800,78928
12,1.9,1900,88011
3,1.9,2000,97557
1,2.2,2100,107753
1,2.8,2200,120461
1,2.9,2300,133004
1,2.8,2400,144609
1,3.2,2500,157879
1,3.6,2600,172738
1,3.8,2700,187906
1,4.3,2800,204713
1,4.7,2900,222527
1,3.6,3000,237204
1,4.7,3100,255126
1,5.4,3200,275739
1,5.1,3300,294496
1,5.5,3400,313994
1,5.1,3500,333224
1,6.7,3600,356760
1,6.6,3700,378648
1,5.9,3800,399224
1,7.8,3900,423194
1,6.5,4000,444039
1,6.5,4100,465204
1,7.3,4200,489840
1,7.3,4300,514469
1,7.5,4400,537800
1,8.0,4500,562357
1,9.1,4600,587932
1,8.5,4700,612179
1,7.1,4800,635372
1,8.8,4900,661637
1,8.4,5000,686944
1,8.4,5100,713376
1,8.8,5200,737267
1,8.5,5300,761739
1,8.8,5400,788217
1,8.8,5500,812431
1,8.4,5600,835437
1,10.4,5700,863246
1,11.4,5800,891261
1,10.4,5900,918795
1,9.1,6000,944609
1,11.6,6100,974555
